temperature_K,residual_meV,acoustic_meV,optical_meV,total_FWHM_meV
0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01
1.000000000000000000e+00,1.800000000000000000e+01,2.500000000000000139e-02,3.848832056555175862e-125,1.802499999999999858e+01
2.000000000000000000e+00,1.800000000000000000e+01,5.000000000000000278e-02,3.824338088468339014e-62,1.805000000000000071e+01
3.000000000000000000e+00,1.800000000000000000e+01,7.500000000000001110e-02,3.816208121473534558e-41,1.807499999999999929e+01
4.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000056e-01,1.205507558507191145e-30,1.810000000000000142e+01
5.000000000000000000e+00,1.800000000000000000e+01,1.250000000000000000e-01,2.403768665034247923e-24,1.812500000000000000e+01
6.000000000000000000e+00,1.800000000000000000e+01,1.500000000000000222e-01,3.808095437564482416e-20,1.814999999999999858e+01
7.000000000000000000e+00,1.800000000000000000e+01,1.750000000000000167e-01,3.806937891441134169e-17,1.817500000000000071e+01
8.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000111e-01,6.768255847947334241e-15,1.820000000000000639e+01
9.000000000000000000e+00,1.800000000000000000e+01,2.250000000000000056e-01,3.805395043927992151e-13,1.822500000000038156e+01
1.000000000000000000e+01,1.800000000000000000e+01,2.500000000000000000e-01,9.557364138262566362e-12,1.825000000000955680e+01
1.100000000000000000e+01,1.800000000000000000e+01,2.750000000000000222e-01,1.335802543648675300e-10,1.827500000013357706e+01
1.200000000000000000e+01,1.800000000000000000e+01,3.000000000000000444e-01,1.202944830973608118e-09,1.830000000120294601e+01
1.300000000000000000e+01,1.800000000000000000e+01,3.250000000000000111e-01,7.725070844255688845e-09,1.832500000772506965e+01
1.400000000000000000e+01,1.800000000000000000e+01,3.500000000000000333e-01,3.803467367604911738e-08,1.835000003803467550e+01
1.500000000000000000e+01,1.800000000000000000e+01,3.750000000000000000e-01,1.514095571861037115e-07,1.837500015140955867e+01
1.600000000000000000e+01,1.800000000000000000e+01,4.000000000000000222e-01,5.071427107698008113e-07,1.840000050714271040e+01
1.700000000000000000e+01,1.800000000000000000e+01,4.250000000000000444e-01,1.473482918070588159e-06,1.842500147348291861e+01
1.800000000000000000e+01,1.800000000000000000e+01,4.500000000000000111e-01,3.802696945731961682e-06,1.845000380269694418e+01
1.900000000000000000e+01,1.800000000000000000e+01,4.750000000000000333e-01,8.881710476205813244e-06,1.847500888171047606e+01
2.000000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e-01,1.905728736018972474e-05,1.850001905728736062e+01
2.100000000000000000e+01,1.800000000000000000e+01,5.250000000000000222e-01,3.802315029097116765e-05,1.852503802315029091e+01
2.200000000000000000e+01,1.800000000000000000e+01,5.500000000000000444e-01,7.124653465345111183e-05,1.855007124653465311e+01
