radius_nm,temperature_K,Eg_bulk_eV,exciton_1s_eV,continuum_eV,binding_meV,FWHM_meV,wavelength_nm
1.500000000000000000e+00,1.000000000000000000e+01,1.824138157894736878e+00,3.299208917646800465e+00,3.481099176321651001e+00,1.818902586748505144e+02,1.825000000000955680e+01,3.758476746857378430e+02
1.500000000000000000e+00,1.000000000000000000e+02,1.808303571428571566e+00,3.283374331180635153e+00,3.465264589855485688e+00,1.818902586748505144e+02,2.270998520872362292e+01,3.776602589063066375e+02
1.500000000000000000e+00,2.000000000000000000e+02,1.777006578947368576e+00,3.252077338699431941e+00,3.433967597374282477e+00,1.818902586748505144e+02,3.463672762348572576e+01,3.812947451292470760e+02
1.500000000000000000e+00,3.000000000000000000e+02,1.739999999999999991e+00,3.215070759752063800e+00,3.396961018426914336e+00,1.818902586748505144e+02,4.881065184587177441e+01,3.856835798213115822e+02
2.500000000000000000e+00,1.000000000000000000e+01,1.824138157894736878e+00,2.311509969323515712e+00,2.420644124528426033e+00,1.091341552049103143e+02,1.825000000000955680e+01,5.364458801633016947e+02
2.500000000000000000e+00,1.000000000000000000e+02,1.808303571428571566e+00,2.295675382857350399e+00,2.404809538062260721e+00,1.091341552049103143e+02,2.270998520872362292e+01,5.401460542982403013e+02
2.500000000000000000e+00,2.000000000000000000e+02,1.777006578947368576e+00,2.264378390376147632e+00,2.373512545581057953e+00,1.091341552049103143e+02,3.463672762348572576e+01,5.476116559273546045e+02
2.500000000000000000e+00,3.000000000000000000e+02,1.739999999999999991e+00,2.227371811428779047e+00,2.336505966633689368e+00,1.091341552049103143e+02,4.881065184587177441e+01,5.567099276544155373e+02
4.000000000000000000e+00,1.000000000000000000e+01,1.824138157894736878e+00,1.988939454107952809e+00,2.057148301111021649e+00,6.820884700306895354e+01,1.825000000000955680e+01,6.234478367045843470e+02
4.000000000000000000e+00,1.000000000000000000e+02,1.808303571428571566e+00,1.973104867641787497e+00,2.041313714644856336e+00,6.820884700306895354e+01,2.270998520872362292e+01,6.284511382722507733e+02
4.000000000000000000e+00,2.000000000000000000e+02,1.777006578947368576e+00,1.941807875160584729e+00,2.010016722163653569e+00,6.820884700306895354e+01,3.463672762348572576e+01,6.385801684409451582e+02
4.000000000000000000e+00,3.000000000000000000e+02,1.739999999999999991e+00,1.904801296213216144e+00,1.973010143216284984e+00,6.820884700306895354e+01,4.881065184587177441e+01,6.509865372651443067e+02
6.000000000000000000e+00,1.000000000000000000e+01,1.824138157894736878e+00,1.882225656877706488e+00,1.927698221546419122e+00,4.547256466871262859e+01,1.825000000000955680e+01,6.587945475448198067e+02
6.000000000000000000e+00,1.000000000000000000e+02,1.808303571428571566e+00,1.866391070411541175e+00,1.911863635080253809e+00,4.547256466871262859e+01,2.270998520872362292e+01,6.643838044759712602e+02
6.000000000000000000e+00,2.000000000000000000e+02,1.777006578947368576e+00,1.835094077930338186e+00,1.880566642599050819e+00,4.547256466871262859e+01,3.463672762348572576e+01,6.757146758374921092e+02
6.000000000000000000e+00,3.000000000000000000e+02,1.739999999999999991e+00,1.798087498982969601e+00,1.843560063651682235e+00,4.547256466871262859e+01,4.881065184587177441e+01,6.896216122415434029e+02
